sample_id,level,split,relation,object_combination,raw_instruction,normalized_instruction,action_target_sha256,source_episode_sha256,source_kind
n1,0,train,NextTo,tomato_1->cereal_1,pick tomato next to cereal,TARGET=tomato_1 | START=next_to(cereal_1) | ACTION=pick_and_place | GOAL=on(bowl_1),dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,0000000000000000000000000000000000000000000000000000000000000000,synthetic_training_pair_a_not_model
n2,0,train,NextTo,tomato_2->board_2,pick tomato beside board,TARGET=tomato_2 | START=next_to(board_2) | ACTION=pick_and_place | GOAL=on(bowl_2),dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,1111111111111111111111111111111111111111111111111111111111111111,synthetic_training_pair_a_not_model
n3,0,validation,NextTo,tomato_3->plate_3,take tomato next to plate,TARGET=tomato_3 | START=next_to(plate_3) | ACTION=pick_and_place | GOAL=on(bowl_3),dddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddddd,2222222222222222222222222222222222222222222222222222222222222222,synthetic_training_pair_a_not_model
o1,0,train,On,tomato_4->board_4,pick tomato on board,TARGET=tomato_4 | START=on(board_4) | ACTION=pick_and_place | GOAL=on(bowl_4),eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,3333333333333333333333333333333333333333333333333333333333333333,synthetic_training_pair_a_not_model
o2,0,train,On,tomato_5->cabinet_5,pick tomato on cabinet,TARGET=tomato_5 | START=on(cabinet_5) | ACTION=pick_and_place | GOAL=on(bowl_5),eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,4444444444444444444444444444444444444444444444444444444444444444,synthetic_training_pair_a_not_model
o3,0,validation,On,tomato_6->tray_6,take tomato on tray,TARGET=tomato_6 | START=on(tray_6) | ACTION=pick_and_place | GOAL=on(bowl_6),eeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeeee,5555555555555555555555555555555555555555555555555555555555555555,synthetic_training_pair_a_not_model
i1,0,train,In,tomato_7->drawer_7,pick tomato in drawer,TARGET=tomato_7 | START=in(drawer_7) | ACTION=pick_and_place | GOAL=on(bowl_7),ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,6666666666666666666666666666666666666666666666666666666666666666,synthetic_training_pair_a_not_model
i2,0,train,In,tomato_8->basket_8,pick tomato in basket,TARGET=tomato_8 | START=in(basket_8) | ACTION=pick_and_place | GOAL=on(bowl_8),ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,7777777777777777777777777777777777777777777777777777777777777777,synthetic_training_pair_a_not_model
i3,0,validation,In,tomato_9->cabinet_9,take tomato from cabinet,TARGET=tomato_9 | START=in(cabinet_9) | ACTION=pick_and_place | GOAL=on(bowl_9),ffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffffff,8888888888888888888888888888888888888888888888888888888888888888,synthetic_training_pair_a_not_model
b1,0,train,Between,tomato_10->vase_10+plate_10,pick tomato between vase and plate,TARGET=tomato_10 | START=between(vase_10+plate_10) | ACTION=pick_and_place | GOAL=on(bowl_10),abababababababababababababababababababababababababababababababab,9999999999999999999999999999999999999999999999999999999999999999,synthetic_training_pair_a_not_model
b2,0,train,Between,tomato_11->cabinet_11+teapot_11,pick tomato between cabinet and teapot,TARGET=tomato_11 | START=between(cabinet_11+teapot_11) | ACTION=pick_and_place | GOAL=on(bowl_11),abababababababababababababababababababababababababababababababab,aaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaaa,synthetic_training_pair_a_not_model
b3,0,validation,Between,tomato_12->board_12+vase_12,take tomato between board and vase,TARGET=tomato_12 | START=between(board_12+vase_12) | ACTION=pick_and_place | GOAL=on(bowl_12),abababababababababababababababababababababababababababababababab,bbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbbb,synthetic_training_pair_a_not_model
