episode_id,model,level,task_id,seed,init_state_index,status,success,evidence_complete,source_kind
candidate_amber-L0-T0-S101,candidate_amber,0,0,101,0,infrastructure_error,,false,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T0-S103,candidate_amber,0,0,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T0-S107,candidate_amber,0,0,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T0-S109,candidate_amber,0,0,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T0-S113,candidate_amber,0,0,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T1-S101,candidate_amber,0,1,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T1-S103,candidate_amber,0,1,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T1-S107,candidate_amber,0,1,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T1-S109,candidate_amber,0,1,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T1-S113,candidate_amber,0,1,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T2-S101,candidate_amber,0,2,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T2-S103,candidate_amber,0,2,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T2-S107,candidate_amber,0,2,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T2-S109,candidate_amber,0,2,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T2-S113,candidate_amber,0,2,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T3-S101,candidate_amber,0,3,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T3-S103,candidate_amber,0,3,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T3-S107,candidate_amber,0,3,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T3-S109,candidate_amber,0,3,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T3-S113,candidate_amber,0,3,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T4-S101,candidate_amber,0,4,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T4-S103,candidate_amber,0,4,103,1,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T4-S107,candidate_amber,0,4,107,2,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T4-S109,candidate_amber,0,4,109,3,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L0-T4-S113,candidate_amber,0,4,113,4,completed,false,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T0-S101,candidate_amber,1,0,101,0,completed,true,true,synthetic_gate_fixture_not_model_result
candidate_amber-L1-T0-S103,candidate_amber,1,0,103,1,completed,true,true,synthetic_gate_fixture_not_model_result
